tweet,class
 kwanini uliingiza miguu kwenye ubunge na akati ungewaachia watu wengine hizo nafasi walau na wao wakajaze matumbo yao..?  Tatizo hua mnakua na Mitamaa sana.  au biashara unazofanya ni magumashi umeamua kujitengenezea kichaka..?;,NOT
 Embu kanusha kwanza kwamba huna PHD bro...umeongea yote ila tuclear kwanza hilo la PHD...😃😃; Mkuu mie nimejifunza kitu hapa,NOT
 japo changamoto ni mtaji lakini yapasa tufunge mkanda kutafuta ili tuweze kuwa katika nafasi fulani hasa To Be Innorvative;;,NOT
 Vipi kuhusu mtaji kaka maana wengi tuna jituma mpaka kulima bustani kwa kufuata kanuni na taratibu walau mahitaji ya kidhi ula wapi tufunulie kurasa hapo kaka; Xax c uache uawaziri kwann unaung'ang'ania au wizara hiyo unaiweza w,NOT
 My super star usipoteze muda wako kumjibu mtu anaejua ila anajifanya hajui,NOT
#kazikaziboss#;  hongera. Tunatoa hongera inapostahili. Japo hatuwezi kusema mimi na wewe ni sawa na mtu wa Hali ya chini sana kimaisha; asiye na opportunities tulinazo au elimu yetu. Tuwe considerate of the most unfortunates in the society.;;;;;,NOT
; Maskini akipata mat......ko hulia mbwata,NOT
 Sasa kama una viwanda. Vyuo. Mabasi. Na makampuni....sasa unaajiriwa na serikal ili iweje?..sindio uongo wenyewe huu..,NOT
 Sasa waachie wenzako ubunge acha kujilimbikizia mambo,NOT
 Sasa mjomba so urudi kwenye chuo na Basi yako huku umekuja kufanyann,NOT
 Kwa kiongoz wa kweli kabisa anaweza kua na mali na miradi mingi ila lengo likawa ni kuongoza watu kutoka kweny umasikin kwenda juu.Iyo sio dhambi ila kama lengo likiwa ni kinyume ni tatzo,NOT
 Hamis acha uongo,NOT
 sasa kama una mirad yote hyo kwa nn ww na mkeo wote mmeajiliwa?? Nini shida?;;,NOT
 Mheshimiwa naomba idea na namna ya kutoboa,NOT
 Mh.una hoja nzuri lkn umeshindwa kuiweka vizur,NOT
hiv imagine wewe una vyanzo vyote hivyo lkn bado huachi kuajiriwa,NOT
utamshawishije kijana ambae hana hata kuku ajiajir wakat wewe unaogopa kuacha kuajiriwa na una mali kibao?kwa tafsri ndogo,NOT
ajira ndo kila kitu,NOT
 mnataka muajir wenu tu; Mpwa nafasi usiachie ila tupe ajira vijana!;;;;;;,NOT
 Niajili bc kwenye mladi yako ! Maana hatuwez wot kujiajiri bro,NOT
 Umasikini mbaya sana.,NOT
 Sasa kumbe una mikazi yako yote hiyo huku kwenye ubunge si uachie wenzako jmn nao wapate riziki tu😂😂😂😂,NOT
 Na kwny kampn y mama Salima ulikua umewaajili ww sio?,NOT
 Mi bado ckuelewi,NOT
 Bwana Hamisi Mtani wangu... I think it would be wise kuanzisha workshops na hata kufundisha watu kwa vitendo hiyo falsafa yako ya kujiajiri ili mtazamo ubadilike na si kauli ambazo ni kama zinabeza. You have great opportunity kuleta mapinduz,NOT
 anzisha small workshops; Mwambie kijana hakujui;,NOT
 Ndio maana nikawaambia vijana wenzangu achaneni na Hamisi,NOT
 nilishawahi kuona picha akiwa na ma ngombe makubwa kama tembo yale nyama zake haziuzwi hapa bongo,NOT
 anzeni na mtaji mdogo pls hamisi ni Tajiri huko ccm anajificha tu.;,NOT
 Sina uhakika kama kweli ivo alivoorodhesha amevipata kabla ajawa mbunge au waziri 😂😂 asilimia kubwa ya iyo miradi cjui ni viwanda vyote itakuaa baada ya kupata ubunge na uwazir mana hana uhakika kama 2020 atapita salama 🤣🤣 ko ame,NOT
Umesema kuwa hujawahi kuajiriwa je  wakati unamaliza chuo ulikuwa na mtaji  au ulipewa na mzazi wako?.Je ulishawahi kujiuliza juu ya huyu mtoto wa mama mjane na masikini alisesomeshwa kwa msaada wa serikali na wakati huo familia inasaidiwa kwa hela za TASAF.;,NOT
 Who knows? Huenda aliamua kugombea ili kusaidia maendeleo ya watu wake ili wafanikiwe kwa pamoja sio kila anaegombea anataka kuongeza pesa,NOT
 matajiri na wenye kipato kikubwa hugombea ili kurahisisha biashara zao na kuzipatia kinga haswa kwenye kodi na uendeshaji wake. I'm out;,NOT
 Fact; 👍upo vzr mheshimiwa;,NOT
 Unajua ukishafanikiwa na ukawambia maskin wote itabid mfanikiwe,NOT
 apo unakua unakosea kikubwa waambie nn wafanye ili wafanikiwe,NOT
 shida so kujiajili shida n nn wafanye ili kujiajili kwao kulete tija upande wao,NOT
 kama ambavyo ww ulifanikiwa katika kujiajili kwako; ;,NOT
 mkuu piga kazi mbona unaandika sana twitter siku izi na malumbano ni mengi kwann..shida nn mkuu?,NOT
 Muheshimiwa ila hela zakuanzisha hiyo miradi yote uliyonayo si uliipata baada ya kuajiriwa.....???,NOT
 Ebu nipe siri mimi ambaye Sina kazi wala mtaji ntawezaje kufikia mafanikio kama yako nakumiliki vitu vyote  tajwa hapo juu. NAWASILISHA HOJA;,NOT
 Still the fact remains,NOT
 bado umeajiriwa chief!; Tweet zako n kama umetumwa na mtu  kuangalia reactions za watu . asante;;;;;;;,NOT
 Mimi ni mwajiri wako hata km na wewe umeajiri wengine kwenye kampuni zako.,NOT
 Maskini akipata kazi yake ni kusimanga maskini na kuwaona hawana maana tena.,NOT
 Nikiwa mkubwa nataka kuwa kama ww kaka; Tuliolamba msitustopishe kwanza,NOT
 Mh. Hujawai kuwa doctor mwananyamala? By the way huo mtaji wa kufungua kampuni tunautoa wap kwa uchumi huu,NOT
 Siumeajiriwa na wananchi lakin??,NOT
 Yaani! Katika mawaziri vituko huyu ndio kituko namba moja,ABUSIVE
 Safi sana mkuu wangu,NOT
 ni vyema ukajikita hapo.; Duu nimejalibu kupitia pitia maoni mengi naona ni wivu wa maendeleo na hakuna binadam anaye kutakia mema;;; Yani unazingua mtu ajiajiri vipi ni fresh graduate .Hana kiwanja ,NOT
 Daaaah😂😂😂 sas mungu akupe nn??? Project zote izoo bado ukaajiliwa ten.....!!!,NOT
 Ulipaj kodi n haki na n sheria kwa kila mTanzania..... Unaorodhesha miradi na wakat unakimbia kulipa kodi? Unaviiiiiimba kungun wew na wakat hayo yote umeyapata ukiwa umeajiliwa!!! Lipa kodi panya buku wew😂😂😂😂😂😂😂😂,ABUSIVE
 unamiradi na bado umegandaa kwenyee ajiraa!!tokaa kwenye ubunge na uawazirii waachiee vijanaa wadogoo wajikwamueee kwenyee huoo ubungeee then waweee kamaaa wewe!kwenyee jimboo lakooo wanaotaakaaa hiyooo nafac wapo zaidi ya vijanaa 600!!;; Ok known; muheshimiwa ww ni mkubwa na kiongozi acha nao ao watu wanaokuchokoza.,NOT
 Mwiz tu huyo!;,ABUSIVE
 Tunaleewaaaa kwa hulkaa ulionayooo unajihic ww in muhimuuu sanaaa kwenyee jamii yakooo huwezi tokaaa ubungeee BT tambuaaa hakuna mtuuu muhimuuu kwenyee hiii duniaaaa!!!kilaaa mmojaaa anaa responsibility zakeee;@HK,NOT
huwa wanakupima 2 hao ww fanya kz 2 usiwajibu.;;,NOT
 Hapo ndo jibu gumu,NOT
 Hon : kigwangala naona unajimwambafai braza,NOT
 Unatuchanganya huku mtaani hatuelewi;;,NOT
 Mambo mengine tunafumba macho tu siku ziende maana hii ndo serikali ya Tanzania,NOT
" Endelea Kufanya Kazi zote Halali kwa Bidii.;""",NOT
"Wenye akili watachukulia mjadala huu wa ajira kama wake-up call kushtuka na kufikiri kwa kina zaidi juu ya namna ya kujikomboa, watafanya ubunifu wa namna ya kuishi na watafanikiwa; wapumbavu wataendelea kumtukana na kumshambulia msemakweli! #NjeYaBox #HK",ABUSIVE
 imetokea nafsi ya kuwa waziri amechaguliwa..hato Mo tuseme aliajiriwa?;;;,NOT
 Huchoki kutema pumba tu Mzee baba - Kwanza umeshamuomba Mkenda msamaha mkuu mana ujuaji wako wewe bwana unachosha sana..Sijui ungekua na PhD ingekuaje sasa. Poteaaa!,NOT
 Zee la kutema machicha hahahaa,ABUSIVE
 kipindi chako cha ujana nadhani economy ilikua ndio bado change sana na opportunities zilikua nyingi a kujiajiri ile sasaivi serikali yenu imefanya swala ma kufungua tu biashara lies gumu sana hata za umachinga lazima mtu awe na kitambulisho,NOT
"Ukosefu wa ajira kwa vijana ni janga la dunia, siyo suala dogo, siyo suala la kwa kuwa unamchukia Kigwangalla basi unaingia mtandaoni kurusha mawe. Mi hayaniumizi hata kidogo, zaidi nakushangaa. Suala hili linataka mjadala mpana, wa kina na siyo matusi. #NjeYaBox #HK",NOT
 Maisha Yananishinda sasa;;,NOT
 Leo umeamka timamu,NOT
" Mheshimiwa, Vema ukaongelea hili jambo kwa busara zaidi. Kusema tu wananchi wajiajiri ni jambo rahisi lenye kuonesha hujali.",NOT
 hayo matusi uanayoyapata ukaru,NOT
!masikini akipata matako hulia bwatabwata!!!sio mm waswahili hao; @jwise017 mjadala pekee siyo suluhisho.,ABUSIVE
Tupeni suluhisho la kimkakati siyo  maneno maneno ya #NjeYaBox;;;;; SIKUIZI UMEKUA UNAJIBU KIFASAA THAT EVEN I WANTED TO SAY SOMETHING BAD BUT BY THE WAY YOU ARE WRITING MAKES ME CREATING A POWERFUL LEADER OF THE COMING DAYS.; Biashara zimezagaa mitaani watu wanafunga maduka hali ya maisha imekua ngumu badala tupatiwe maeneo maalm ya biashara tumetelekezwa mabarabarani ajali zetu vua yetu jua letu ni kwavile hakuna pakusemea mikopo inatufanya tunatelekeza familia zetu yanaumiza moyoni lakini watawala; Wewe sio Mara ya kwanza kutoa post za madharau,NOT
 Doctor By Proffessional Huwa unatoa Fact sanaa kiongoz God akusimamie Amen  ✊✊💪💪,NOT
 Wewe tayari ulishaweka msimamo wako acha kujikosha,NOT
 Matusi uliyaanza ww pale ulipotuambia tujiajiri wakati ww umeajiriwa. 👎🏽🤮,NOT
 Lakini unafikiri mlioko kwenye madaraka mnapata tabu na shida tunazozipata sisi wa kuchimba mitaro na si rahisi saivi hata kupata kibarua cha kuchimba mtaro maana hali ngumu wanachimba wenyewe wewe matumizi yako ya siku kima cha chini 50000 ,NOT
 ugali uupatao wewe ni kwasabab umeajiriwa kisiasa. Acha wehu,ABUSIVE
 Ungekuwa huumii ungepost tena?,NOT
 sema Mh kwenye hili jitahidi sana uachane nalo ili kulinda dignity yako kwa kuwa watu mitaani washavulugwa sana na maisha.,NOT
; mliopata ajila mnasumbua watu,NOT
 Nikweli usemacho lkn watu wanakutusi the way ulivyo present mawazo yako mwanzo juu ya ajira kwa vijana,NOT
 Mh Hakuna anaye weza kukutukna utabaki tu kuwa Mh tu...naomba kazi kwako hata ya kuchunga mifugo,NOT
 anza kua ww vle unataka tuwe  jiajiri and then utushauri kujiajiri tutakuelewa 😬😬 nafkiria msoto nnaokula kitaa na cheti changu kwa bag,NOT
 Hahahaha; This should be your first tweet,NOT
 Huo mjadala unafanyika wapi ......maana Watanzania siku hizi tumekuwa waoga wakusema,NOT
 Umenena vyema mh. Kigwangalla,NOT
 Acha kazi ujiajiri kama ni rahisi. Ukishindwa hilo usizungumzie kabsa Swala la kujiajiri. 🚮,NOT
 Sina muda wa kubishana na takataka kama wewe ndo maana umetoroka kutibu ukaamua uungane na wapumbavu wenzio wewe ni🚮🚮🚮🚮🚮🚮🚮,ABUSIVE
 Umeongea hoja ya msingi Sana mheshimiwa,NOT
 Akil una ww nyumbu,ABUSIVE
 Baada ya mjadala nini kinafuata? 🤔,NOT
 Mkuu kama unafahamu suala la ajira linahitaji mjadala mpana,NOT
 na nyinyi mnapokua bungeni/mitandaoni acheni kutoa majibu mepesi kuhusu hili suala la ukosefu wa ajira,NOT
 Yatakuumaje wakati hujui taabu wanayoipata vijana wasiokuwa na ajira na wanadaiwa na HESLB. Pia huwezi ku feel ile pinch wanayo I feel wasiokuwa na ajira. We si unayo but all in all one day Wote tutanyamaza,NOT
 Kuonesha unajali ungeachia iyo nafasi ukatumikia ulicho kisomea!,NOT
 Sahihi kabisa,NOT
 na mjadala yapaswa uanze kwa watawala,NOT
 watunga sera na mamlaka ya kufanya maamuzi. nasi tutawapa maoni;;,NOT
 Mheshimiwa kutusiana sio kuzuri Ila wahanga tunaomba muweze kutujadri wala mtubanebane kama vipindi vingine walivyofany hatukatai juhudi za kimaendeleo zinaonekana lakini je cc watoto was walala hoi elim imetusaidia kweli hii inakatisha tama,NOT
 Tutajiajiri bro kigwangalla usijali sisi ni vijana mtaji ni nguvu zetu#tutajiajiri tu hamna shda,NOT
 tumeshafikiria nje ya box#; Viongozi wa awamu hii mnaimba sana taarabu na kupiga vijembe mitandaoni,NOT
 mwenzio huko kapiga marufuku kujenga nyumba za mapaa marefu sijui yanamkera nini.;;;,NOT
 Achieni nafasi zenu nyie wazee ili vijana wapate ajira.,NOT
 NGONJERA,NOT
  naomba nikupe siri,NOT
  wanakuogopa ndio maana wanakutukana... Wangekuwa hawakuogopi wasingekutukana.;;;; Kaka kuna mambo mengine kama taifa hayahitaji nguvu nyingi Sana kufanya implementation. Hivi siasa za kistaarabu zinavyozidi kuishiwa pumzi hapa Tanzania nayo ni ya kusema ni janga la kidunia? Siasa ya TANZANIA ni fursa ya kutajirika haswa ukiwa CCM. Unatajirika kwa ahadi bandia; Nyumba bure,NOT
 Hakika sana,NOT
 Kama mheshimiwa unalijua hilo mbona umeandika kuhusu vijana kujiajiri badala ya kuangalia vijana wanajiajiri vip( source ya ajira),NOT
 Sijui unafeli wapiserekali ya CCM mmetusahau maskini ila  hata mkituacha tukifa njaa au tukiwa vichaa kisa ugumu wa maisha ninachofurahia tu Ni kwamba hivi vyote mtaviaacha mtakufa na sisi pia tutakufa na umaskini wetu,NOT
 sijui shida Ni ndevu au nn ,NOT
 Aliyekutuma tunamjua usitusumbua kichwa kama huwezi kuhimili mihemko pumzika kama kichaa mwenzio msiba,ABUSIVE
 Huwezi kuwa miongoni mwa watu wanaotakiwa kulijadili hili suala,NOT
 endelea kujilamba huko uliko; Ni kweli Dr. ila huku mtaani ni noma baba......;,NOT
 Kama ulijua linahitaji mjadara wa kitaifa Kwa nini ukihitimisha jambo hili bila mjadara huo? Acha wakurushie mawe tu,NOT
 ungekuja kutuonyesha sera ulizopanga ili kukuza ajira kwenye sector ya natural resources and tourism,NOT
 Kiongozi sijui ni mbinafsi!,NOT
 Kama hayakuumizi ucngekuja kujibu shida yako bado hujaelimik ila una elimu ya karatasi tu ambao hauna msaada wowote,NOT
; Kweli kabisaa mbaba,NOT
 Fanya mambo mengine issue za ajira achana nazo zitashusha cv yako,NOT
 Nenda Kanye huko,ABUSIVE
 Kumbe hadi viongozi wa kubwa kwenye nchi huwa wanaongea maneno wasiyoyafikiria kuwa nn Au kivipi yatachukuliwa na watu wanaowaongoza,NOT
 Yani tufanye mjadala mtu alierukwa akili,ABUSIVE
Bomu jipya; Ujadili na nani utatumbuliwa wajifanye unajisahaulisha serikali ya ccm na masifa Meko hawataki mjadala,NOT
uhuru wa kujieleza labda kajadili na Polepole na Bashiru hao ndio wanaruhusiwa kujadili wamsifuje mfalme katili.; Achana Nao...Kigwangwala Hajashushwa Kuwapa Watu Ajira,NOT
Wanataka nn Tena...Elimu Ni Ufunguo Wa Maisha Na siyo Ufunguo Wa Ajira; @FMagungu **JOB OPENING AT SIGNAGE WORKSHOP**,NOT
  sasa wao wakilalamika Ina maana tumeliwa!?  Au kazi imewashinda!? Tupokezane vijiti basi;;;,NOT
 Maneno matamu yanayotoka kwenye kinywa kichafu ni uchafu pia.,ABUSIVE
 How do we solve this problem.... From here now honor kigwangala,NOT
 Bro halikuumizi coz hili swala la ukosefu wa ajira kwa vijana zaidi ya miaka 5 sasa hali kugusi direct; mmmh kaa na bongo land yako,NOT
Na kadhalika...; Lakn Mh bora serikali ikatamka rasmi kwamba watu waache kusoma kwa sababu wanapoteza muda wao na pesa zao mtu amesoma zaidi ya miaka 20 lakn mwisho wa siku unaambiwa hakuna ajira ujiajiri hizo pesa ulipoteza si bora ungetumia kufanya biashara? Serikali itamke wazi watu wasisome;jambo hili linakera sana.;,NOT
 Swala la ajira ni la lazma na kama siyo lazma basi futeni kabisa mambo ya kuajiri ifahamike hivyo na serikali itamke wazi. Kwenye kampeni tusisikie mtu anajinadi kuhusu ajira ,NOT
 Tatizo mheshimiwa punguza ushamba na kuongea ongea maneno meeengi,NOT
" """"ubora wa maneno ni yale machache ambayo yana tija na ubora""""""""; Ww una uhakika ulivyoweka statment ulikuwa unalenga kuamsha mjadala?Hamna mtu ambaye hajui suala la ajira duniani zaidi vijana limekuwa janga kubwa.Lkn kwenye nchi zetu zinazokuwa ni rahisi sana kuapata wawekezaji coz bado mishahara yetu iko chini we must think in that direction.;",NOT
 Mimi bado naona ni unafiki mtupu,NOT
 kwasababu watoto zenu hawapitii tunayo pitia sisi ambao tunalipa kodi,NOT
ko solution ni kuweka mkakati utao ajiri watanzania sio kujadiliana na nyie mnakula kodi kila siku,NOT
Tatizo ndiyo mlango wa kuingia kwenye mafanikio ,NOT
Kwa nin uite janga wakati kujiajir kupo?; ro nikweri;;,NOT
 Njoo tujiajiri wote we c mzee wa field mbona huji kwenye field tu practice ulitishiwa kuchomolewa kaz ukapoteana,NOT
; Heh!!? Tunakuchukia tena?😲 ,NOT
 Hakuna anaekutukana kwakua unazungumzia swala la ajira ila tatizo kauli zako jinsi unavolizungumzia huzungumzi kisomi,NOT
" Daaah...! Mh,kivuli cha mti hakisaidii usiloe wakati wa mvua. Hakuna ulazima wa mtu kujua background yako ili achangie kwenye tweets zako.;",NOT
 Hakuna ulazima wa mtu kujua background yako ili achangie kwenye tweets zako.;,ABUSIVE
"Hujui mapito yangu, kwa hiyo na wewe kaa kimya, siyo kuthubutu kunifumba mdomo mimi. Usinichukulie poa dogo. Mimi sikufumbi mdomo but naku-engage. Kuwa mvumilivu, jadili kama Una hoja, kama mweupe, achana na mjadala huu, nenda kapambane na",NOT
"Shangazi, umenimiss eti huh? ",NOT
 Hahaa wamepoteana hawa watu adi huruma kile kihelehele chote kwisha na bado mpaka waombe poh piga kazi HK.; Dr kigwa naombanifungulie dms nliguswa na wazo lako la kujiajiri kunq jambo naomba nkushirikishe;,NOT
"Waajiri basi! Waajiriwa 1m, ajira 100,000, what’s your solution? Mimi nasema wachache wajiajiri ili waajiri wengine. Wewe unasemaje?",NOT
Ningekuwa na hasira nisingewajibu wapuuzi wa hapa! Ningewapuuza...I am also having some fan pengine kuliko hata wao 😀. I never take very seriously mijadala na BOTs ,ABUSIVE
"Magufuli ni No. 1 na amejijengea jina na heshma kubwa miongoni mwetu, kama unaona wivu jiue tu uondokane na adha hii ya kuona sura ya usiyempenda ",ABUSIVE
wewe k huna haya,ABUSIVE
kweli wewe ni sikio la kufa,NOT
Kwanii we iyoo k* yakoo huwaga una isafishaa kwel maana ,ABUSIVE
inakuaje kwa wanawake wanonuka ukeni na mwanaume kunuka jasho,ABUSIVE
Komaaaaaa na mtindi wako kama unanyonyesha paka wa bar!,ABUSIVE
Maji yenyewe yananuka,NOT
ata baba yk pia ita kua ana nuka,NOT
Imeandikwa MWANAUME atakula kwa JASHO??,NOT
"we ungekua haunuki ungekuwa unatiwa then unatupuliwa mbali,,,????",ABUSIVE
We unatafuta kiki hakuna kingine mpumbavu usiyejitambua,NOT
Wapwa kitu msijokijua kwangu ni kwamba mkijichanga kwa kunipa 10000 me d** namuua,ABUSIVE
kambale wewe kutoka mto Malagarasi,ABUSIVE
Utakua na nyota ya kondoo si bure,NOT
Malofa na wapumbavu tu watamuamini,ABUSIVE
zangumie kuomba mwanangu wakike mjamzito aruhusiwe kuendelea,NOT
Liokoeni Taifa kabla kuwa too late,ABUSIVE
wanafunga mitambo ya kuzima data mwezi wa #Uchaguzi2020 bado mitandao mengine na wao kutoa kisingizio hicho hicho,NOT
 Huduma kwa wateja uwa ni vilaza hawajuagi kitu labda kukwambia ubonyeze 1 kwa kiswahili na 0 Kwa kingereza,ABUSIVE
 mmenikera kwelikweli,NOT
 nao Kama maadui utavuna uadui na ukiishi nao Kama rafiki na ndugu utavyuna amani na furaha.,NOT
"Apambane tu maana duniani ni kupambana ili kuyashinda majarbu""",NOT
 Ni Kuvuja kwa mfumo wa upoozaji,NOT
hawazi hilo yupo busy kupambana na wapinzani badala ya kujali nchi na afya ya watanzania,ABUSIVE
 Bado kuna yule msomi wa darasa la saba yule Mbunge wa Bunda naye ni mjuvi wa mambo ya ubongo????,ABUSIVE
Mafala hawa wanateuana wauaji tupu..????,ABUSIVE
Tunaamini atasimamia Rasilimali hizi kwa moyo wote watanzania wafaidike.,ABUSIVE
"Vodacom wanatia kinyaa na laini yao nimeivunja, baada ya kutuibia kapewa ajira hatarii sana",ABUSIVE
kwanz waliashaanz wiz sku nying sana sasa muda wao umefka????,ABUSIVE
 Experience yake Ni over 45 years ??then how old is this gay?,ABUSIVE
 Kama waliweza kuiba kura watashindwa kuiba ,ABUSIVE
Gwajiboy enyewe amekaaa kiwiziwizi Sana,ABUSIVE
Kweli mungu si Athumani...unge skia wapinzani ndio wameibaa..??????,NOT
Wawe makini Nani ambaye ni mgeni hapo waanze kwanza kumkagua,NOT
Wameanza kukulana wenyewe kwa wenyewe Sasa. Maana hakuna upinzani watasema Nan ????,NOT
Haya Jangwani njia imefungwa maji kama maji yameletwa na wapinzani,NOT
 Kuna watu wanakenua kwenye pumba kama kama hizi yan,ABUSIVE
 Wana kawe tuna subuli kupelekwa marekani na mchungaj rashid,NOT
"Siku ya nne sina umeme,kwa SABABU ZA KIPUUZI tu",ABUSIVE
 Admin Bogus Kabisa????,ABUSIVE
Hahahaha we jamaa mchokozi san,NOT
Hawa wanafunzi wanaosoma Jalalani wanasumbua sana,ABUSIVE
 Coz anajua mwenye akili hawezi kutawaliwa kirahisi,ABUSIVE
Hawapendi kwasababu yeye hana hizo akili,NOT
Sifuri kichwani mpaka basi,ABUSIVE
Hii michumia tumbo,ABUSIVE
"Kaka naweza kutukana kwa kauli zao za choon,yaan midomo yao kama tundu la choo",ABUSIVE
 Yan mijitu mingine limejenga porin alf eti linaongea ujinga wake hapa,ABUSIVE
dah! Sasa hiyo ya kaburini hatutaweza shuhudia jomoni,NOT
Yaani watasema wachezaji 9 akiwemo kocha wana corona!,NOT
Ntashabikia vip CCM wewe ulisikia wapi yapigwe hamsa?????,NOT
Wewe sio mzaa lendo????,NOT
Tunisia piga hao Taifa staz goli za kutosha,NOT
Hili li mbuzi vipi?,ABUSIVE
MTANZANIA KUISHABIKIA TUNISIA HUO NI USHAMBA??????,NOT
Namba tufungwee goli 5 yani mkonooo,NOT
Naamini Bwana Mahera atatushangaza,NOT
yaan sitaki presha kabisaa shemasi,NOT
Tuweke Uzalendo Mbele Kwa Taifa.,NOT
CCM huwa wanaibaga chafuzi zote lakini huu wa mwaka huu wameiba kijinga sana na kipuuzi sana,ABUSIVE
I knew this man is empty headed and if full of ujinga ujinga... Sadly he came out at wrong time.. Pumbavu kabisa,ABUSIVE
,
malaya wa kihaya,ABUSIVE
Malaya mbovu mbona tunakujua,ABUSIVE
Malaya mzee bibi umechoka,ABUSIVE
Mbwa jike wewe!,ABUSIVE
mkundu unakuwasha wewe,ABUSIVE
msenge kazi kutukana wanaume kutwa,ABUSIVE
Nenda kajitombe unanuka k,ABUSIVE
Rambuza wewe nan asokujua,ABUSIVE
Shoga wewe kamtafute mtu akufire,ABUSIVE
umerogwa wewe sio bure,ABUSIVE
Unafirwa na manyani wewe,ABUSIVE
unatiwa halafu hauogi,ABUSIVE
unatombwa na farasi,ABUSIVE
wewe malaya jiheshimu,ABUSIVE
hanithi mkubwa wewe,ABUSIVE
Kinuka mkundu huna jipya,ABUSIVE
Kinuka uchi nenda kaoge baharini,ABUSIVE
kuma la babako wewe,ABUSIVE
Kuma Mamako heshimu watu!,ABUSIVE
kuma nina wewe babako wakike,ABUSIVE
Kuma nyeusi kama lami,ABUSIVE
kuma ya mama yako,ABUSIVE
kumambichi wewe huna haya,ABUSIVE
kumandizi tu ganda la jana,ABUSIVE
makende meusi kaoge,ABUSIVE
 akili ndogo sana huyu,ABUSIVE
akili mdundio kwendraaaaa!,ABUSIVE
Mpumbavu mkubwa,ABUSIVE
Mboro kibamia,ABUSIVE
mbolo tango mimi nitakuuwa,ABUSIVE
Kumanina zako,ABUSIVE
kuma nina wewe ,ABUSIVE
Kumamayo unatombwa,ABUSIVE
kuma mbuzi tu,ABUSIVE
wewe ni mjinga akili zero,ABUSIVE
kalogwa huyu sio bure,ABUSIVE
nzige wa chadema waache,ABUSIVE
mhuni mhuni waziri huyu,ABUSIVE
wewe zezeta kabisa,ABUSIVE
masikini matako huyu,ABUSIVE
waziri kituko sijawah ona,ABUSIVE
wanaume wananuka kawaogeshe,ABUSIVE
mtu wa ovyo huyu dah,ABUSIVE
waziri hovyo hili yaani,ABUSIVE
pumbafu wewe,ABUSIVE
panya buku wewe,ABUSIVE
kunguni wewe kaa utulie,ABUSIVE
mwizi wewe wa pesa za umma,ABUSIVE
"wapumbavu hutukana, mwereveu husikiliza",ABUSIVE
zee la kutema machicha,ABUSIVE
wapumbavu wenzio huko kawaaminishe,ABUSIVE
takataka wewe,ABUSIVE
akili huna wewe nyumbu,ABUSIVE
kichaa mwenzio wako lumumba,ABUSIVE
nenda kanye wewe utawaze,ABUSIVE
mtu alierukwa akili mwache,ABUSIVE
kinywa kichafu wewe jichunge ulimi wako,ABUSIVE
mdomo mkubwa wewe kama bakuli,ABUSIVE
mjinga huyu hajielewi,ABUSIVE
mtu mpumbavu huachwa,ABUSIVE
hayawani wewe,ABUSIVE
unanuka kikwapa nenda kule,ABUSIVE
inzi wa kijani huwa siwaelewi kabisa,ABUSIVE
wapuuzi hawa wameshiba kodi zetu,ABUSIVE
unaona wivu jiue tukuzike,ABUSIVE
mchamba mavi wewe,ABUSIVE
malaya wa kiume,ABUSIVE
kumamake wewe,ABUSIVE
wewe shoga tu tunakujua,ABUSIVE
msagaji mkubwa huna maana,ABUSIVE
mweusi kama giza la matakoni,ABUSIVE
msenge wewe umerudi tena,ABUSIVE
kichwa maji huyu mtu,ABUSIVE
roho mbaya wewe,ABUSIVE
wewe haunaga akili,ABUSIVE
kajambe ushuzi wewe,ABUSIVE
matako yako wewe km fungu la bamia,ABUSIVE
wanaonuka jasho wanafanyakazi,ABUSIVE
wenyewe mnanuka kuma hatusemi,ABUSIVE
wewe unanuka k mbona,ABUSIVE
wewe unanuka mkojo umejikojolea,ABUSIVE
utakua na ngoma wewe sio bure,ABUSIVE
mnanuka kuma sana tunawasitiri,ABUSIVE
hiki kizee kina nyege,ABUSIVE
takataka kabisa huyu mtu,ABUSIVE
huyu zuzu hajitambui,ABUSIVE
mbona unawashwa unataka kukunwa,ABUSIVE
zezeta la lumumba linawaka,ABUSIVE
wewe mbumbumbu pumzisha fuvu,ABUSIVE
akili kama fisi kazi kuwaza ufisadi,ABUSIVE
wewe ni shetani mkubwa,ABUSIVE
Chomeka vidole kwenye kuma yako unuse,ABUSIVE
Fala wewe nani kakwambia kukosa ajira uzembe,ABUSIVE
"idiot what the f**k, yaani ubunge sio ajira?",ABUSIVE
kafirwe sasa umeshachoka,ABUSIVE
Shenzi huyu kwanini umepita kwao,ABUSIVE
pumbu km una busha,ABUSIVE
Pumbafu nyamaza huna hoja,ABUSIVE
Ntakutomba mchana wewe shoga,ABUSIVE
Ntakufira ufirike malaya ww,ABUSIVE
Shirikisha Akili acha kutumia tumbo kufikiri heshimu utu wa watu,ABUSIVE
wewe mjinga sana,ABUSIVE
huyu bwege ana akili sana,ABUSIVE
Unafikili pesa zinatoka mkunduni?,ABUSIVE
unaogea perfume na bado unanuka mbona hatusemi,ABUSIVE
unafikiria kwa kutumia matako sio bure wewe,ABUSIVE
Wewe mbona tumepishana unanuka mkojo nkutangaze?,ABUSIVE
wewe nzi wa kijani tunakujua,ABUSIVE
Hawa nyumbu wa Chadema  wasumbufu sana,ABUSIVE
